roundNo	questionNo	questionText	imageUrl	answerText
Round 1 Player 1	Question 1	In a key archaeological breakthrough, five Vasconic words across 40 characters were identified on the Hand of Irulegi that was excavated near Pamplona in Spain. This is the earliest text written in **which language isolate** spoken primarily in Northern Spain and the western Pyrenees? 	https://i.imgur.com/NF78Q33.png	**Basque** (Accept: **Euskara**)
Round 1 Player 1	Question 2	The 2022 Nobel Prize in Physiology or Medicine was won by Swedish geneticist Svante Pääbo for his study on human evolution. Much of Pääbo's work was about **which extinct relative** of modern humans once found across Europe? They get their name from a valley near Düsseldorf where the first fossil was uncovered.	https://i.imgur.com/V5nh4Ve.png	**Neanderthals** (Accept: **Homo neanderthalensis** or **H. sapiens neanderthalensis**)
Round 1 Player 2	Question 1	The charcuterie-inspired 'Butter Board Challenge' on TikTok and Reels inspired a number of variations where people used a spread of their own choice. **What yogurt dip** of Greek origin is used in this variation? A staple in the cuisines of Southeast Europe and the Middle East, it is made with yogurt, drained cucumber, olive oil, fresh herbs, garlic, lemon juice and salt.	https://i.imgur.com/7BeK6pN.png	**Tzatziki** (Accept: **Tarator** or **Cacık**)
Round 1 Player 2	Question 2	An eye primer along with mascara were used to create the trending 'Winged Lashes' look of the Sharma Sisters in **which Netflix romance television series**? This was combined with Empire-waist dresses with pearl embellishments, opera gloves, and hair bows to achieve the 'Regencycore' aesthetic.	https://i.imgur.com/fbbtmxT.png	**Bridgerton** <br> <img src='https://i.imgur.com/4ceCjO0.png' height='400px'>
Round 1 Player 3	Question 1	Gorging on cheap street eats like gua bao and stinky tofu along with bubble tea; catching a film at Cinema Street which hosts the Golden Horse Film Festival; and lighting an incense stick at the Tianhou Temple are some of the activities recommended by Time Out magazine to try at Ximending, a neighbourhood in **which Asian capital city**?	https://i.imgur.com/xjc6qmK.png	**Taipei**
Round 1 Player 3	Question 2	Eco-activists linked to Just Stop Oil vandalised **which 19th century painting** by an English landscape painter at the National Gallery, London? They pasted three panels over its canvas that reimagined the scene: replacing the river Stour with a road, placing smoke-spewing factories on the horizon, and loading the titular entity with a broken washing machine.		The **Hay Wain**; It was painted by John Constable. <br> <img src='https://i.imgur.com/YIbtT4u.png' height='400px'>
Round 1 Player 4	Question 1	**Who** made her acting debut in Bollywood with the film Goodbye, co-starring Amitabh Bachchan? Often dubbed the 'National Crush of India' by internet meme pages, she has a Filmfare South Award for Geetha Govindam.	https://i.imgur.com/unSzPrJ.png	Rashmika **Mandanna** (Accept: **Rashmika**)
Round 1 Player 4	Question 2	**Which Mesoamerican civilisation** depicted their various shaman-kings in jaguar skins and headdress and left behind several figurines that closely resemble the Marvel character Black Panther? It flourished for over a thousand years until 400 BCE in the modern-day Mexican states of Veracruz and Tabasco and its major sites include San Lorenzo, La Venta, and Tres Zapotes.	https://i.imgur.com/b8wg67C.png	**Olmec**
Round 2 Player 1	Question 1	This TV show depicts the spectacular downfall of Adam and Rebekah Neumann, the founders of **which office-space leasing company**?	https://i.imgur.com/g7bBzpE.png	**WeWork**; The show being WeCrashed.
Round 2 Player 1	Question 2	Biohaven Pharma acquired Knopp Biosciences for its Kv7 channel targeting platform. It includes the lead asset BHV-7000, a potassium channel activator expected to play a key role in the development of therapies for **which (group of) neurological disorder(s)** of the central nervous system that is characterised by repeated seizures or periods of unusual behaviour?		**Epilepsy**
Round 2 Player 2	Question 1	The rise of left-leaning governments over the last few years in Latin America has been dubbed as the resurgence of the 'Pink Tide'. **Name the current President of Honduras** who assumed office in January 2022. Active in liberal politics since her youth, she also served as the First Lady during her husband’s term as President between 2006 - 2009.	https://i.imgur.com/xp2kZMS.png	Iris Xiomara **Castro** Sarmiento (Accept: Xiomara Castro de **Zelaya**); No relation to Fidel Castro in any form despite having the same surnames.
Round 2 Player 2	Question 2	In a key archaeological breakthrough, the discovery of thousands of hunting pits by researchers from Birmingham University indicates that the Salisbury Plains was inhabited by hunter-gatherer communities for thousands of years before the construction of **which prehistoric monument**? 	https://i.imgur.com/RI8dHjB.png	**Stonehenge**
Round 2 Player 3	Question 1	The 2022 Nobel Prize in Physics was awarded to Alain Aspect, John Clauser and Anton Zeilinger for their work establishing the violation of Bell inequalities. They proved this through experiments involving pairs of photons exhibiting **what phenomenon**? It involves two particles being linked together such that aspects of one particle depends on aspects of the other particle.	https://i.imgur.com/KcfIiyR.png	Quantam **entanglement**
Round 2 Player 3	Question 2	Tomorrow, and Tomorrow, and Tomorrow by Gabrielle Zevin explores the relationship of two game creators. ____ ___ (4,3) is one of the fictional games in the book, a zombie adventure set on water. **What apt name** (4,3), that it shares with a geographical entity in the Middle East, is given to this game?		**Dead Sea**
Round 2 Player 4	Question 1	In this legendary guitarist's first album as a solo artist, he reworked songs from his band's shelved scifi rock opera Lifehouse. The cover features him standing on eggs in reference to a classic conundrum, which gives the album its title '___ ____ _____' (3,4,5). **Name this album**, which turned fifty in 2022. One of the words in the album's title is also the name of the band.	https://i.imgur.com/DIa0q7j.png	**Who Came First** by Pete Townshend (Prompt: What Came First)
Round 2 Player 4	Question 2	Wigs of varying shades of hair colour like white blonde, platinum, and silver were specially crafted for members of the titular royal family in **which HBO prequel television series**? It required the use of special organic shampoos to wash away all the fake blood but ensure the wigs' colour didn't strip away.	https://i.imgur.com/V94jjmC.png 	**House of the Dragon** <br> <img src='https://i.imgur.com/itAYKz5.png' height='400px'>
Round 3 Player 1	Question 1	**Who** is this Cameroonian footballer? This Al Nassr striker scored the only goal in his nation’s win vs. Brazil at the 2022 FIFA World Cup.	https://i.imgur.com/flctIef.jpg	Vincent **Aboubakar**
Round 3 Player 1	Question 2	Sipping on daiquiris or mojitos while spotting vintage cars pass by; exploring the open-air art museums and murals across the art district; and wandering around colourful buildings and crumbling mansions are some of the activities recommended by Time Out magazine to try at San Isidro, a neighbourhood in **which Caribbean capital city**?	https://i.imgur.com/iuWP8ge.png	**Havana**
Round 3 Player 2	Question 1	**Which Mesoamerican culture** worshipped the serpent deity Ku’ku’lkán (Kukulkan), the inspiration for the title bestowed by the people of Talocan for their king Namor in Black Panther: Wakanda Forever? It flourished in southeastern Mexico, all of Guatemala and Belize, with its key cities such as Chichen Itza, Tikal, and Calakmul reaching its peak in the Classic Period (200 - 900 CE).	https://i.imgur.com/quoZDcj.png	**Maya**
Round 3 Player 2	Question 2	**Who** made her acting debut in Bollywood along-side Varun Dhawan, Anil Kapoor, and Neetu Kapoor in Jugjugg Jeeyo? This YouTube sensation has also acted in the Netflix series Mismatched.	https://i.imgur.com/lgoXoQv.png	Prajakta **Koli** (Accept: **Prajakta**; Accept: **MostlySane**)
Round 3 Player 3	Question 1	**What dairy product** with at least 30% milk fat is used in this variation of the 'Butter Board Challenge'? It is topped with chives, capers and lox (brined salmon) along with poppy seeds and sesame seeds, the staple of 'Everything Bagel' seasoning.	https://i.imgur.com/vqYvbPr.png	**Cream Cheese**
Round 3 Player 3	Question 2	AbbVie acquired Syndesi Therapeutics for its lead molecule SDI-118, capable of modulating the communication between neurons in the brain. This mechanism is a potential treatment for cognitive impairment associated with **which neurodegenerative disorder** that affects memory and thinking skills? This form of dementia often begins in people over 65 years of age.		**Alzheimer's** Disease
Round 3 Player 4	Question 1	The goal of this exploration program is to re-establish a human presence on the Moon for the first time since the Apollo missions. Led by NASA and supported by other space agencies, the uncrewed phase of the program launched in November 2022. **Which program**, named after a goddess of the Moon? 	https://i.imgur.com/coCp1zf.jpg	**Artemis**
Round 3 Player 4	Question 2	Eco-activists linked to Letzte Generation glued their hands to a painting at the Städel Museum, Frankfurt featuring **which pair of ill-fated lovers** whose story forms part of Ovid’s Metamorphoses and who make an appearance in A Midsummer Night's Dream? The group likened the government's actions to “just as [blank] started from false assumptions and eventually killed himself".		**Pyramus and Thisbe**; The artwork being Thunderscape With Pyramus and Thisbe by Nicolas Poussin. <br> <img src='https://i.imgur.com/uJxf3mP.png' height='400px'>
